               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.031849,            0.015272,            0.010447,             0.56978,             0.43783,             0.41861,             0.23668,            0.052285,            0.020602,            0.010822,             0.00307,             0.00307,             0.00307
                  72,            0.032184,            0.015235,           0.0098109,             0.53936,             0.45291,             0.42305,             0.24316,            0.050921,            0.020633,            0.010624,            0.002971,            0.002971,            0.002971
                  73,            0.031512,            0.014852,            0.010616,             0.48502,              0.4273,             0.38808,             0.21847,            0.051913,            0.020852,            0.010381,            0.002872,            0.002872,            0.002872
                  74,            0.030723,             0.01499,           0.0088511,             0.53955,             0.42363,             0.39881,             0.21762,            0.051936,            0.020812,           0.0097893,            0.002773,            0.002773,            0.002773
                  75,            0.030956,            0.014766,            0.010203,             0.54567,              0.4572,             0.42491,             0.22673,            0.050363,            0.020348,           0.0094514,            0.002674,            0.002674,            0.002674
                  76,            0.030768,            0.014832,            0.010151,             0.61394,             0.43645,             0.44853,             0.24014,            0.051768,            0.020259,           0.0087383,            0.002575,            0.002575,            0.002575
                  77,            0.029684,            0.014652,            0.010022,             0.58573,             0.46068,             0.46059,             0.25382,            0.051771,            0.020366,            0.010469,            0.002476,            0.002476,            0.002476
                  78,            0.031006,            0.014771,           0.0097461,              0.5424,             0.43636,             0.42896,             0.24672,             0.05238,            0.021262,            0.011713,            0.002377,            0.002377,            0.002377
                  79,            0.029401,            0.014959,           0.0096018,             0.55831,             0.44714,             0.43463,             0.24712,            0.050094,            0.020846,            0.012579,            0.002278,            0.002278,            0.002278
                  80,            0.029986,            0.014818,            0.009579,              0.5696,             0.45324,             0.43491,             0.24946,            0.051004,            0.020624,            0.011159,            0.002179,            0.002179,            0.002179
                  81,            0.029498,             0.01447,            0.010104,             0.57517,             0.43697,             0.44484,             0.26028,            0.051542,            0.020626,            0.011136,             0.00208,             0.00208,             0.00208
                  82,            0.029609,            0.014848,           0.0091911,             0.54148,             0.45735,             0.43291,             0.25084,            0.051022,            0.020672,            0.011167,            0.001981,            0.001981,            0.001981
                  83,            0.029244,            0.014848,           0.0091855,             0.59629,             0.45442,             0.44831,             0.25995,            0.051363,            0.020998,           0.0095393,            0.001882,            0.001882,            0.001882
                  84,            0.029126,            0.014911,           0.0090457,             0.54417,             0.45266,               0.431,             0.25019,            0.051888,            0.020712,            0.010722,            0.001783,            0.001783,            0.001783
                  85,            0.028783,            0.014448,            0.010832,             0.54601,             0.43883,             0.42299,             0.23808,            0.051172,            0.020263,           0.0097255,            0.001684,            0.001684,            0.001684
                  86,            0.028238,            0.014486,           0.0089102,             0.55661,             0.45763,             0.42719,              0.2469,            0.051806,            0.020851,           0.0093325,            0.001585,            0.001585,            0.001585
                  87,            0.028731,            0.014635,           0.0096956,             0.55564,             0.45081,             0.43391,             0.24725,            0.051653,            0.020307,           0.0095959,            0.001486,            0.001486,            0.001486
                  88,            0.027947,            0.014306,           0.0092767,             0.59696,             0.45272,             0.44218,             0.26098,            0.050444,            0.020695,            0.010611,            0.001387,            0.001387,            0.001387
                  89,            0.029016,            0.014518,           0.0099718,              0.5605,             0.45639,             0.43447,             0.25019,            0.050628,            0.022217,            0.010179,            0.001288,            0.001288,            0.001288
                  90,            0.028166,            0.014748,           0.0088658,             0.57995,             0.46087,             0.43779,             0.25574,            0.050772,            0.021524,           0.0090767,            0.001189,            0.001189,            0.001189
                  91,             0.02823,            0.014196,           0.0086309,             0.62061,             0.43676,             0.44594,             0.25688,            0.051751,            0.021493,            0.010438,             0.00109,             0.00109,             0.00109
                  92,            0.028286,            0.014878,           0.0089606,             0.59113,             0.44796,             0.43959,             0.25669,            0.051292,            0.021409,            0.010769,            0.000991,            0.000991,            0.000991
                  93,            0.028471,             0.01482,            0.010828,             0.59179,             0.43042,             0.42293,             0.24675,            0.051856,            0.021649,             0.01067,            0.000892,            0.000892,            0.000892
                  94,            0.028511,            0.014212,           0.0096556,             0.52418,             0.43993,             0.41572,             0.24497,            0.051418,            0.021408,              0.0105,            0.000793,            0.000793,            0.000793
                  95,            0.027598,            0.013992,           0.0095468,             0.56902,             0.42447,             0.42096,             0.24321,            0.051806,            0.021612,            0.010433,            0.000694,            0.000694,            0.000694
                  96,            0.027908,              0.0141,            0.010351,             0.58883,             0.42011,             0.41889,             0.24229,            0.051735,            0.021702,            0.010971,            0.000595,            0.000595,            0.000595
                  97,            0.027424,            0.014059,            0.010701,             0.56398,             0.43931,             0.41421,             0.23894,            0.051648,            0.021711,            0.010939,            0.000496,            0.000496,            0.000496
                  98,            0.027261,            0.014023,            0.009083,             0.55161,             0.44833,             0.41843,              0.2404,            0.051285,            0.021841,            0.010777,            0.000397,            0.000397,            0.000397
                  99,            0.026699,            0.014088,           0.0097781,             0.55267,             0.44863,             0.41808,             0.24103,            0.051608,            0.021715,            0.011169,            0.000298,            0.000298,            0.000298
